"app_id";"review_score";"review_score_desc";"total_positive";"total_negative";"total_reviews"
10;9;"Overwhelmingly Positive";19908;753;20661
20;8;"Very Positive";1889;385;2274
30;8;"Very Positive";1169;169;1338
40;8;"Very Positive";548;131;679
50;9;"Overwhelmingly Positive";4047;192;4239
60;8;"Very Positive";1420;284;1704
70;9;"Overwhelmingly Positive";18643;735;19378
80;8;"Very Positive";3777;420;4197
100;8;"Very Positive";293;22;315
130;8;"Very Positive";2897;311;3208
220;9;"Overwhelmingly Positive";34040;1123;35163
240;9;"Overwhelmingly Positive";24541;1192;25733
280;6;"Mostly Positive";2535;971;3506
300;8;"Very Positive";3995;472;4467
320;8;"Very Positive";2178;317;2495
340;8;"Very Positive";2639;418;3057
360;6;"Mostly Positive";684;230;914
380;8;"Very Positive";4391;255;4646
400;9;"Overwhelmingly Positive";30233;452;30685
420;9;"Overwhelmingly Positive";7486;317;7803
440;8;"Very Positive";5318;413;5731
500;8;"Very Positive";8025;469;8494
550;9;"Overwhelmingly Positive";85465;2697;88162
570;8;"Very Positive";5506;653;6159
620;9;"Overwhelmingly Positive";74754;861;75615
630;8;"Very Positive";123;7;130
660;0;"1 user reviews";1;0;1
730;8;"Very Positive";815676;110706;926382
1002;6;"Mostly Positive";18;5;23
1200;8;"Very Positive";503;86;589
1230;8;"Very Positive";53;9;62
1250;9;"Overwhelmingly Positive";18679;710;19389
1256;7;"Positive";21;3;24
1257;7;"Positive";27;2;29
1280;8;"Very Positive";549;58;607
1300;8;"Very Positive";206;34;240
1313;8;"Very Positive";56;14;70
1500;6;"Mostly Positive";276;79;355
1510;8;"Very Positive";997;105;1102
1520;8;"Very Positive";1429;214;1643
1530;8;"Very Positive";208;31;239
1600;6;"Mostly Positive";118;44;162
1610;8;"Very Positive";115;20;135
1630;6;"Mostly Positive";192;53;245
1640;6;"Mostly Positive";250;99;349
1670;5;"Mixed";70;47;117
1690;5;"Mixed";158;73;231
1700;8;"Very Positive";376;74;450
1840;8;"Very Positive";189;13;202
1900;5;"Mixed";153;109;262
1930;5;"Mixed";712;309;1021
2100;8;"Very Positive";2303;230;2533
2130;0;"5 user reviews";5;0;5
2200;9;"Overwhelmingly Positive";1017;50;1067
2210;8;"Very Positive";564;118;682
2270;8;"Very Positive";1221;74;1295
2280;8;"Very Positive";4454;246;4700
2290;8;"Very Positive";452;78;530
2300;8;"Very Positive";2200;168;2368
2310;9;"Overwhelmingly Positive";2584;130;2714
2320;8;"Very Positive";1181;103;1284
2330;8;"Very Positive";60;14;74
2340;5;"Mixed";38;38;76
2350;6;"Mostly Positive";83;23;106
2360;8;"Very Positive";220;31;251
2370;6;"Mostly Positive";56;17;73
